2016-10,223.6,-23.3,10.9,1965.45,13.2,451.3,6.14
2016-11,238.9,6.8,17.4,2204.34,13.7,451.3,6.14
2016-12,252.6,5.7,15.3,2456.94,13.8,451.3,6.14
2017-01,120.6,-52.3,-21.2,120.57,-21.2,26.9,0.37
2017-02,178.8,48.3,53.9,299.38,11.3,26.9,0.37
2017-03,177.1,-1.0,18.3,476.46,13.8,26.9,0.37
2017-04,196.6,11.0,0.5,673.04,9.5,132.7,1.80
2017-05,209.1,6.4,18.0,882.14,11.4,132.7,1.80
2017-06,259.2,24.0,11.3,1141.31,11.4,132.7,1.80
2017-07,196.7,-24.1,5.9,1337.97,10.5,250.6,3.41
2017-08,238.5,21.3,-0.6,1576.51,8.7,250.6,3.41
2017-09,233.1,-2.3,-20.0,1809.65,3.9,250.6,3.41
2017-10,208.5,-10.6,-6.8,2018.18,2.7,384.0,5.22
2017-11,262.1,25.7,9.7,2280.27,3.4,384.0,5.22
2017-12,235.7,-10.1,-6.7,2515.96,2.4,384.0,5.22
2018-01,175.8,-25.4,45.8,175.84,45.8,34.6,0.47
2018-02,140.9,-19.9,-21.2,316.74,5.8,34.6,0.47
2018-03,170.8,21.2,-3.5,487.54,2.3,34.6,0.47
2018-04,211.4,23.8,7.6,698.96,3.9,229.2,3.10
2018-05,201.4,-4.7,-3.7,900.40,2.1,229.2,3.10
2018-06,306.8,52.3,18.4,1207.24,5.8,229.2,3.10
2018-07,114.1,-62.8,-42.0,1321.30,-1.3,343.2,4.63
2018-08,235.7,106.6,-1.2,1556.95,-1.2,343.2,4.63
2018-09,236.3,0.3,1.4,1793.25,-0.9,343.2,4.63
2018-10,189.4,-19.8,-9.2,1982.67,-1.8,470.2,6.33
2018-11,227.2,19.9,-13.3,2209.86,-3.1,470.2,6.33
2018-12,228.8,0.7,-2.9,2438.67,-3.1,470.2,6.33
2019-01,135.5,-40.8,-22.9,135.50,-22.9,18.3,0.25
2019-02,139.6,3.0,-1.0,275.06,-13.2,18.3,0.25
2019-03,154.1,10.4,-9.8,429.17,-12.0,18.3,0.25
2019-04,137.3,-10.9,-35.1,566.44,-19.0,84.3,1.13
2019-05,190.6,38.9,-5.4,757.04,-15.9,84.3,1.13
2019-06,262.3,37.6,-14.5,1019.31,-15.6,84.3,1.13
2019-07,150.9,-42.5,32.3,1170.25,-11.4,--,--
2019-08,171.1,13.3,-27.4,1341.34,-13.8,--,--
2019-09,198.8,16.2,-15.9,1540.09,-14.1,--,--
