2016-10,57.6,8.7,8.6,638.79,12.3,216.5,10.18
2016-11,60.6,5.1,6.8,699.37,11.8,216.5,10.18
2016-12,64.3,6.2,7.2,763.67,11.3,216.5,10.18
2017-01,56.2,-12.6,-0.3,56.18,-0.3,49.8,2.34
2017-02,59.9,6.5,-2.8,116.03,-1.6,49.8,2.34
2017-03,68.3,14.1,-1.4,184.48,-1.4,49.8,2.34
2017-04,71.6,4.9,-1.2,255.90,-1.4,132.3,5.65
2017-05,74.3,3.8,3.1,330.19,-0.5,132.3,5.65
2017-06,77.1,3.8,2.5,407.33,0.1,132.3,5.65
2017-07,69.3,-10.2,-0.6,476.60,--,170.9,7.30
2017-08,52.9,-23.6,2.8,529.55,0.3,170.9,7.30
2017-09,56.6,6.9,6.8,586.16,0.9,170.9,7.30
2017-10,63.3,11.8,9.8,649.46,1.7,217.9,9.31
2017-11,65.6,3.7,8.3,715.09,2.3,217.9,9.31
2017-12,68.0,3.7,5.8,783.11,2.5,217.9,9.31
2018-01,60.7,-10.7,8.1,60.75,8.1,51.7,2.21
2018-02,63.6,4.8,6.3,124.39,7.2,51.7,2.21
2018-03,72.2,13.5,5.8,196.63,6.6,51.7,2.21
2018-04,73.5,1.7,2.7,270.12,5.6,133.2,5.69
2018-05,76.6,4.2,3.0,346.67,5.0,133.2,5.69
2018-06,78.5,2.5,1.7,425.14,4.4,133.2,5.69
2018-07,70.0,-10.9,1.0,495.09,3.9,172.1,7.35
2018-08,57.8,-17.3,9.2,552.91,4.4,172.1,7.35
2018-09,59.9,3.5,5.8,612.78,4.5,172.1,7.35
2018-10,63.9,6.7,0.9,676.65,4.2,201.8,8.62
2018-11,67.0,4.9,2.1,743.66,4.0,201.8,8.62
2018-12,71.8,7.1,5.5,815.43,4.1,201.8,8.62
2019-01,63.2,-11.9,4.1,63.24,4.1,45.0,1.92
2019-02,67.8,7.2,6.5,131.04,5.3,45.0,1.92
2019-03,76.8,13.3,6.3,207.83,5.7,45.0,1.92
2019-04,77.5,0.9,5.4,285.31,5.6,118.3,5.05
2019-05,82.2,6.1,7.4,367.51,6.0,118.3,5.05
2019-06,82.5,0.4,5.2,450.05,5.9,118.3,5.05
2019-07,74.9,-9.3,7.1,524.92,6.0,--,--
2019-08,61.9,-17.4,7.0,586.81,6.1,--,--
2019-09,63.0,1.9,5.3,649.84,6.0,--,--
