2017Q1,-30.51,-39.47,-52.42,-58.39,-58.55,-59.04,-59.05,1.78,6.14,3.3,0.36,6.02,2.14,-7.39
2017Q2,-5.4,-12.48,-31.62,-29.6,-48.92,-36.52,-36.81,0.03,13.13,19.83,-17.89,-17.46,1.1,0.98
2017Q3,16.96,0.27,-24.99,-1.97,31.81,17.61,17.48,0.33,-21.34,-55.55,-41.31,-44.23,-39.29,-39.5
2017Q4,60.39,67.72,73.19,280.3,264,240.8,242.1,23.31,-10.91,-57.73,9.22,1.58,4.21,4.02
2018Q1,-40.56,-39.68,-23.92,-68.76,-66.45,-66.4,-66.43,5.49,-11.22,-32.42,-18,-17.77,-14.51,-14.72
2018Q2,4.95,-4.53,-35.77,3.45,-27.66,-27.37,-27.34,17.03,-3.16,-36.52,20.51,16.46,-2.18,-1.94
2018Q3,27.46,32.92,98.02,11.07,41.32,42.23,55.45,27.52,28.38,67.59,36.53,24.85,18.29,29.75
2018Q4,31.55,56.87,104.9,118.8,160.2,151.7,148.4,4.59,20.08,98.31,-21.45,-10.74,-12.62,-5.8
2019Q1,-41.75,-54.01,-74.94,-59.42,-62.18,-68.34,-63.33,2.5,-8.44,-34.68,2.02,0.6,-17.67,2.88
2019Q2,10,5.67,-3.48,-6.33,-25.38,-13.98,-13.99,7.44,1.34,-1.84,-7.63,3.77,-2.5,21.78
