2020-05-15,9800,920,1080,-,-,-,0,442,1.6,2,2.1,-2.1,-50.00,2356,7324,9900,820,1050,930,+70,8.14,25,641,2.1,2.8,2.6,-3.3,-55.93,2956,5243,10000,750,945,820,+60,7.89,68,1900,3.2,6,3.9,-4.8,-55.17,5696,15715,10100,625,780,730,+70,10.61,31,1185,4.2,5.3,5.2,-7.8,-60.00,6812,6904,10200,625,660,630,+60,10.53,43,2526,6.4,8,7.7,-10.3,-57.22,14120,11649,10300,520,650,530,+51,10.65,86,4771,11,11.5,11,-15,-57.69,22136,14246,10400,380,459,436,+52,13.54,594,3727,17.5,18,17.5,-19.5,-52.70,28212,15587,10500,342,348,344,+44,14.67,958,2818,26,27,26.5,-28.5,-51.82,41296,17601,10550,300,302,302,+48,18.90,354,101,32.5,33,33,-32,-49.23,7071,1458,10600,256,260,258,+33,14.67,3221,6638,40,41,41,-35,-46.05,41410,12861,10650,217,220,219,+32,17.11,3900,521,49.5,51,50,-40,-44.44,22986,5208,10700,179,182,180,+24,15.38,12619,5339,62,63,62,-44,-41.51,37796,8411,10750,145,147,146,+21,16.80,17579,2861,77,79,78,-51,-39.53,24766,4113,10800,113,114,113,+15,15.31,44886,14286,95,96,95,-56,-37.09,35612,11575,10850,86,87,86,+11,14.67,40763,10837,116,119,117,-60,-33.90,13930,3109,10900,61,63,63,+7,12.50,50217,13464,142,145,143,-63,-30.58,10473,4338,10950,42,43,42.5,+2.5,6.25,34633,6885,173,176,173,-67,-27.92,2977,663,11000,27,27.5,27,+0.5,1.89,44351,23291,209,211,211,-66,-23.83,3542,2712,11050,15.5,17.5,17.5,,0,21802,9878,247,251,248,-71,-22.26,714,292,11100,9.9,10,9.8,-1.7,-14.78,25992,27205,290,295,292,-73,-20.00,792,732,11150,5.8,5.9,5.9,-1.9,-24.36,10526,6068,331,340,338,-71,-17.36,96,58,11200,3.4,3.6,3.5,-1.6,-31.37,15371,16380,352,505,372,-81,-17.88,107,279,11250,2.1,2.3,2.1,-1.4,-40.00,2578,4092,333,550,530,+30,6.00,28,44,11300,1.4,1.5,1.5,-1.1,-42.31,5868,13779,431,580,475,-75,-13.64,61,295,11400,0.7,0.8,0.7,-0.5,-41.67,1727,6288,535,690,600,-50,-7.69,2,142,11500,0.5,0.6,0.5,-0.3,-37.50,901,5379,635,790,-,-,-,0,59,11600,0.3,1,0.3,-0.3,-50.00,400,3144,730,890,-,-,-,0,32,11700,-,0.2,0.3,-0.1,-25.00,253,5396,770,990,-,-,-,0,46,11800,-,0.1,-,-,-,22,2515,870,1090,-,-,-,0,104
2020-05-18,9800,865,1090,980,-40,-3.92,20,441,0.7,0.9,0.8,-1.3,-61.90,1032,7285,9900,765,985,890,-30,-3.26,43,599,1,1.1,1,-1.6,-61.54,1056,5530,10000,700,875,770,-50,-6.10,78,1836,1,1.4,1.4,-2.5,-64.10,2865,15970,10100,555,775,655,-65,-9.03,93,1117,1.4,1.8,1.9,-3.3,-63.46,4368,7451,10200,480,675,560,-70,-11.11,99,2498,2,3,2.9,-4.8,-62.34,8335,12357,10300,450,500,464,-66,-12.45,192,4684,4.7,6,5,-6,-54.55,16424,17438,10400,355,429,370,-66,-15.14,437,3779,8.5,9,8.6,-8.9,-50.86,23725,18381,10500,278,315,280,-64,-18.60,693,2799,17,17.5,17,-9.5,-35.85,33195,16792,10550,235,268,232,-70,-23.18,487,157,23,23.5,23,-10,-30.30,14688,4241,10600,182,208,195,-63,-24.42,2782,6502,31.5,32,31.5,-9.5,-23.17,39727,13755,10650,153,158,155,-64,-29.22,3737,1162,42,45,43,-7,-14.00,30212,7260,10700,118,121,120,-60,-33.33,16200,5977,58,59,58,-4,-6.45,44719,10480,10750,89,90,90,-56,-38.36,24161,4440,77,78,76,-2,-2.56,31628,5317,10800,62,65,64,-49,-43.36,53010,16010,99,102,100,+5,5.26,35036,9563,10850,43,43.5,43.5,-42.5,-49.42,41649,13785,128,133,131,+14,11.97,15913,3353,10900,27.5,28,28,-35,-55.56,51253,17842,164,166,165,+22,15.38,10010,3884,10950,16,17,16.5,-26,-61.18,29286,9140,202,212,202,+29,16.76,1839,659,11000,9.1,9.3,9.3,-17.7,-65.56,40029,29968,230,252,251,+40,18.96,2581,2434,11050,5.2,5.6,5.2,-12.3,-70.29,15903,12612,252,312,300,+52,20.97,549,359,11100,3,3.2,3.1,-6.7,-68.37,13737,27450,260,447,349,+57,19.52,401,734,11150,1.8,2.2,1.9,-4,-67.80,6414,4901,291,510,373,+35,10.36,12,51,11200,1.1,1.3,1.1,-2.4,-68.57,8021,17540,340,560,450,+64,16.58,166,259,11250,0.7,1.1,0.8,-1.3,-61.90,1762,4525,390,610,495,+60,13.79,11,43,11300,0.7,0.9,0.7,-0.8,-53.33,1610,13480,440,660,540,+55,11.34,31,295,11400,0.4,0.5,0.5,-0.2,-28.57,922,6169,520,735,645,+60,10.26,10,143,11500,0.3,0.4,0.3,-0.2,-40.00,805,5166,615,835,-,-,-,0,59,11600,-,0.3,0.3,,0,1528,2763,715,935,-,-,-,0,32,11700,-,0.2,0.2,,0,56,5391,815,1040,-,-,-,0,46
2020-05-19,9900,845,1070,985,+125,14.53,4,599,0.1,0.2,0.2,-0.8,-80.00,1577,5404,10000,750,930,885,+125,16.45,18,1830,0.1,0.5,0.2,-1.2,-85.71,2285,15593,10100,740,865,785,+125,18.94,29,1106,0.1,0.4,0.2,-1.7,-89.47,2583,6795,10200,545,765,680,+120,21.43,75,2487,0.1,0.4,0.3,-2.6,-89.66,2629,11065,10300,500,665,570,+106,22.84,119,4658,0.2,0.8,0.4,-4.6,-92.00,5008,16040,10400,438,495,467,+97,26.22,266,3692,0.4,0.6,0.4,-8.2,-95.35,9359,15142,10450,307,525,-,-,-,0,0,0.6,0.7,0.7,-12.3,-94.62,1213,647,10500,350,393,377,+97,34.64,515,2648,0.9,1,0.9,-16.1,-94.71,14349,16207,10550,307,426,325,+93,40.09,105,151,1.1,1.2,1.2,-21.8,-94.78,13165,5959,10600,268,282,274,+79,40.51,1800,6248,1.9,2,2,-29.5,-93.65,26123,13129,10650,201,295,229,+74,47.74,2308,695,3.3,3.5,3.5,-39.5,-91.86,27781,7953,10700,166,178,174,+54,45.00,9372,5221,6.7,6.8,6.8,-51.2,-88.28,45119,13999,10750,127,138,134,+44,48.89,16440,2648,12,12.5,12,-64,-84.21,39718,8308,10800,92,94,92,+28,43.75,40641,14223,22,23,22.5,-77.5,-77.50,59018,14701,10850,58,60,58,+14.5,33.33,52678,7966,39,39.5,39.5,-91.5,-69.85,54274,9710,10900,35,36,35,+7,25.00,80138,20775,65,66,66,-99,-60.00,53092,8221,10950,17,18,17.5,+1,6.06,72946,14525,96,98,96,-106,-52.48,33502,2966,11000,8.7,9,8.8,-0.5,-5.38,75848,28802,138,142,139,-112,-44.62,16665,3313,11050,3.7,4.2,4.2,-1,-19.23,42219,12675,183,188,188,-107,-36.27,2209,467,11100,1.8,1.9,1.8,-1.3,-41.94,36618,22823,230,238,233,-112,-32.46,2016,680,11150,0.9,1,0.9,-1,-52.63,13016,6151,198,388,280,-115,-29.11,109,50,11200,0.6,0.7,0.7,-0.4,-36.36,10567,15534,315,444,332,-113,-25.39,395,264,11250,0.4,0.6,0.4,-0.4,-50.00,3081,4702,330,494,382,-113,-22.83,148,68,11300,0.3,0.4,0.4,-0.3,-42.86,4655,12328,325,545,437,-108,-19.82,22,286,11400,0.1,0.3,0.2,-0.3,-60.00,1834,6010,437,655,525,-120,-18.60,2,144,11500,0.1,0.2,0.2,-0.1,-33.33,783,5176,535,755,630,-110,-14.86,2,59,11600,0.1,0.2,0.2,-0.1,-33.33,57,2742,635,855,-,-,-,0,32,11700,-,0.2,0.1,-0.1,-50.00,48,5391,735,955,-,-,-,0,46,11800,-,0.2,0.1,,-,183,2525,835,1060,-,-,-,0,104
2020-05-20,9900,106,-,-,-,-,0,0,1.3,1.5,1.8,-2.4,-57.14,234,186,10000,815,1010,880,+25,2.92,3,2,-,1.5,1.7,-4.3,-71.67,413,253,10100,106,-,-,-,-,0,0,2.4,2.5,2.5,-6.4,-71.91,408,280,10200,260,-,685,+20,3.01,3,3,3.5,4.5,3.5,-9.5,-73.08,1128,722,10300,210,-,-,-,-,0,0,6.3,6.4,6.4,-13.1,-67.18,1182,865,10400,170,955,-,-,-,0,0,10,10.5,10.5,-18,-63.16,1850,1329,10500,141,500,409,+13,3.28,28,16,17.5,18,18,-24.5,-57.65,3017,1888,10550,110,885,364,+9,2.54,7,5,23,23.5,23.5,-27.5,-53.92,1870,1107,10600,316,323,320,+5,1.59,78,57,29.5,31,29.5,-32.5,-52.42,2183,1149,10650,269,775,280,+2,0.72,23,11,37,39,38,-36,-48.65,2455,1581,10700,235,755,236,-6,-2.48,47,30,48,48.5,49,-40,-44.94,3097,1780,10750,196,220,201,-8,-3.83,257,151,60,61,60,-45,-42.86,2020,868,10800,166,168,166,-12,-6.74,659,482,75,77,74,-51,-40.80,3103,1824,10850,132,135,135,-15,-10.00,1533,724,91,93,93,-54,-36.73,2266,998,10900,106,107,105,-20,-16.00,3464,1504,112,114,113,-58,-33.92,2391,1097,10950,80,81,80,-23,-22.33,2960,1045,137,139,138,-61,-30.65,1152,556,11000,59,60,59,-24,-28.92,4096,1556,166,178,169,-60,-26.20,605,360,11050,41,43,41.5,-24.5,-37.12,3561,1798,192,212,198,-64,-24.43,223,149,11100,28.5,29,29,-23,-44.23,3770,1834,236,239,239,-59,-19.80,121,87,11150,18,19,19,-21,-52.50,4089,2230,270,-,288,-48,-14.29,16,7,11200,12,13,12.5,-17.5,-58.33,3635,2190,305,322,322,-54,-14.36,15,8,11300,5.1,6,5.1,-11.4,-69.09,1947,1312,400,-,419,-43,-9.31,1,1,11400,1.5,1.9,1.9,-6.5,-77.38,1434,908,131,-,520,-30,-5.45,2,2,11500,0.9,1.1,0.9,-3,-76.92,105,94,170,-,620,-30,-4.62,2,2,11600,0.6,0.9,1,-0.7,-41.18,1,1,220,-,720,-25,-3.36,1,1,11700,-,1,-,-,-,0,0,200,-,-,-,-,0,0,11800,-,0.9,-,-,-,0,0,200,-,-,-,-,0,0,11900,-,30,-,-,-,0,0,200,-,-,-,-,0,0
2020-05-21,10000,875,1070,940,+45,5.03,3,2,1.3,1.4,1.3,-0.4,-23.53,736,647,10100,775,1000,-,-,-,0,0,1.4,1.8,1.7,-0.8,-32.00,1051,851,10200,675,900,750,+55,7.91,2,3,2,2.3,2.3,-1.2,-34.29,2057,1034,10300,575,800,640,+45,7.56,2,1,3.2,3.4,3.3,-3.1,-48.44,2263,1478,10400,480,700,595,+95,19.00,33,5,4.6,4.8,4.8,-5.7,-54.29,4868,2673,10500,396,620,-,-,-,1,17,7.2,7.5,7.2,-10.8,-60.00,8580,3548,10550,335,555,430,+66,18.13,13,6,9.2,10,9.1,-14.4,-61.28,7976,3813,10600,391,510,394,+74,23.13,62,69,11.5,12.5,12,-17.5,-59.32,10133,5091,10650,252,472,350,+70,25.00,29,20,14.5,16,15.5,-22.5,-59.21,8607,4155,10700,250,308,308,+72,30.51,292,109,20.5,21,21,-28,-57.14,16253,5443,10750,162,278,264,+63,31.34,409,182,27,27.5,27,-33,-55.00,13258,3998,10800,215,222,215,+49,29.52,3525,751,35,35.5,35,-39,-52.70,22324,6276,10850,176,180,178,+43,31.85,6647,1053,46,47,46.5,-46.5,-50.00,18601,4397,10900,140,143,142,+37,35.24,18166,2774,58,61,60,-53,-46.90,23885,5163,10950,106,109,108,+28,35.00,21513,3399,77,78,78,-60,-43.48,18590,4084,11000,78,82,79,+20,33.90,30289,4631,97,100,99,-70,-41.42,12014,2437,11050,56,58,57,+15.5,37.35,24848,5394,122,127,126,-72,-36.36,4639,870,11100,38,39,38,+9,31.03,24180,6577,155,160,157,-82,-34.31,3227,762,11150,24,25,24.5,+5.5,28.95,16270,5052,181,209,194,-84,-30.22,641,183,11200,14.5,15,15,+2.5,20.00,17615,9069,214,243,232,-90,-27.95,530,196,11300,5,6,4.9,-0.2,-3.92,9372,5541,207,326,323,-96,-22.91,47,27,11400,1.6,2.1,1.7,-0.2,-10.53,4836,3209,304,525,412,-98,-19.22,34,28,11500,0.1,1,0.2,-0.7,-77.78,1656,1272,403,625,-,-,-,0,2,11600,0.5,1.4,0.5,-0.3,-37.50,225,180,500,725,-,-,-,0,1,11700,0.1,2,0.3,+0.2,-,130,129,600,825,-,-,-,0,0,11800,0.1,0.3,-,-,-,20,20,700,925,-,-,-,0,0,11900,-,0.3,0.1,,-,75,0,800,1030,-,-,-,0,0
2020-05-22,9800,885,1110,-,-,-,0,0,2.4,3,2.5,+1.7,212.50,745,449,9900,785,1010,-,-,-,0,0,1.8,3.2,3,+2,200.00,1314,782,10000,690,910,900,-80,-8.16,3,2,4.6,4.9,4.5,+3.2,246.15,1284,799,10100,590,810,-,-,-,0,0,6.4,6.5,6.4,+4.7,276.47,1461,1212,10200,473,660,645,-135,-17.31,5,4,9.6,10,9,+6.7,291.30,3492,2015,10300,500,615,505,-180,-26.28,5,3,12.5,14,12.5,+9.2,278.79,4708,2364,10400,405,510,405,-180,-30.77,2,5,20,20.5,20,+15.2,316.67,6997,4510,10500,295,328,314,-173,-35.52,22,20,30.5,31,30.5,+23.3,323.61,14623,7925,10550,250,369,277,-162,-36.90,23,14,36,37,36,+26.9,295.60,8650,4407,10600,231,237,235,-159,-40.36,145,128,44,45,44,+32,266.67,14736,6635,10650,193,196,191,-159,-45.43,422,138,52,54,54,+38.5,248.39,13490,4993,10700,155,158,157,-151,-49.03,1274,426,66,67,67,+46,219.05,21351,6762,10750,122,123,123,-141,-53.41,4842,2191,81,83,81,+54,200.00,22569,6021,10800,91,92,92,-123,-57.21,12040,4143,102,103,102,+67,191.43,32058,6165,10850,65,66,65,-113,-63.48,20734,6596,122,125,125,+78.5,168.82,27058,4980,10900,42.5,43.5,42.5,-99.5,-70.07,34697,8599,152,153,152,+92,153.33,29557,4153,10950,25.5,26,26,-82,-75.93,33439,7954,183,187,184,+106,135.90,17596,3135,11000,14,14.5,14,-65,-82.28,45489,11767,223,227,224,+125,126.26,11142,1906,11050,7.8,8.2,8,-49,-85.96,31514,11246,264,270,265,+139,110.32,3916,813,11100,4.3,4.5,4.3,-33.7,-88.68,31787,11254,310,316,315,+158,100.64,2950,471,11150,2.5,2.8,2.7,-21.8,-88.98,22180,7967,263,426,362,+168,86.60,709,187,11200,1.7,1.8,1.8,-13.2,-88.00,20663,8398,298,515,414,+182,78.45,200,186,11250,1.2,1.4,1.2,-6.3,-84.00,3340,1836,348,565,461,+186,67.64,17,16,11300,0.8,1.1,1.1,-3.8,-77.55,8653,5771,412,630,510,+187,57.89,52,12,11400,0.3,1,0.3,-1.4,-82.35,3461,3396,510,730,530,+108,25.59,4,28,11500,-,0.1,0.3,-0.3,-50.00,624,1338,610,830,600,+85,16.50,1,2,11600,-,0.1,0.2,-0.3,-60.00,676,645,710,930,690,+75,12.20,1,2,11700,-,0.2,0.2,-0.1,-33.33,113,151,810,1030,-,-,-,0,0
