2020-05-15,9300,1500,1590,-,-,-,0,130,50,55,54,-10,-15.63,179,1115,9400,1400,1490,-,-,-,0,413,58,69,60,-12,-16.67,622,26793,9500,1310,1400,-,-,-,0,136,68,86,68,-13,-16.05,493,3381,9600,1080,1310,-,-,-,0,344,73,81,76,-14,-15.56,1068,25096,9700,995,1220,-,-,-,0,151,81,88,86,-17,-16.50,500,1218,9800,910,1060,-,-,-,0,529,95,98,97,-19,-16.38,1031,22393,9900,830,970,-,-,-,0,95,101,115,109,-20,-15.50,1050,1593,10000,735,880,875,+55,6.71,12,1014,122,125,125,-21,-14.38,2091,25481,10100,660,795,755,+20,2.72,34,78,138,139,139,-24,-14.72,786,1675,10200,580,800,705,+50,7.63,25,1229,156,185,156,-28,-15.22,1311,39984,10300,500,635,600,+25,4.35,30,258,177,210,178,-29,-14.01,822,1208,10400,431,555,550,+50,10.00,37,432,192,209,197,-35,-15.09,883,2946,10500,464,494,469,+32,7.32,115,521,226,250,227,-37,-14.02,974,2059,10600,405,411,406,+36,9.73,203,1139,255,258,258,-39,-13.13,1387,1926,10700,328,346,342,+34,11.04,316,930,290,291,291,-43,-12.87,1356,1491,10800,282,283,282,+30,11.90,1029,1690,330,334,331,-51,-13.35,383,3765,10900,228,231,228,+25,12.32,865,2653,350,380,376,-53,-12.35,126,289,11000,180,181,180,+21,13.21,1974,3383,413,433,428,-58,-11.93,256,2067,11100,119,140,138,+17,14.05,1126,3063,483,491,480,-70,-12.73,111,81,11200,104,105,104,+13,14.29,2634,4245,468,560,550,-70,-11.29,168,1747,11300,75,78,76,+9,13.43,1314,2521,540,760,-,-,-,0,26,11400,54,56,55,+6.5,13.40,1093,2475,695,840,725,-50,-6.45,10,3795,11500,36,40,39.5,+3.5,9.72,3369,3267,665,885,765,-100,-11.56,1,21,11600,27,29,28,+1.5,5.66,367,4542,870,970,-,-,-,0,2590,11700,18,21,20.5,+1.5,7.89,1600,2202,955,1070,-,-,-,0,0,11800,15,16,15,+0.5,3.45,186,2004,975,1200,-,-,-,0,2705,11900,9.6,11.5,11,+1,10.00,179,1025,1030,1260,-,-,-,0,0,12000,8.3,9,8.5,-0.7,-7.61,2393,2681,1250,1360,-,-,-,0,2763,12100,0.3,6.9,6.5,+0.4,6.56,117,2845,1230,1460,-,-,-,0,0,12200,0.4,34,5.1,-0.4,-7.27,107,1230,1440,1560,-,-,-,0,624,12300,0.2,4.3,4.1,+0.1,2.50,51,261,1430,1660,-,-,-,0,0
2020-05-18,9300,1440,1570,-,-,-,0,130,55,62,59,+5,9.26,143,1139,9400,1350,1480,-,-,-,0,413,63,67,66,+6,10.00,291,26790,9500,1260,1370,-,-,-,0,136,68,75,75,+7,10.29,1399,3400,9600,1060,1280,-,-,-,0,344,79,85,83,+7,9.21,453,25286,9700,980,1200,-,-,-,0,151,88,94,92,+6,6.98,867,1712,9800,910,1010,1020,-30,-2.86,7,536,95,110,106,+9,9.28,738,22577,9900,810,915,-,-,-,0,95,105,123,118,+9,8.26,870,1937,10000,725,830,840,-35,-4.00,13,1024,132,134,132,+7,5.60,3846,26024,10100,635,750,745,-45,-5.70,51,127,140,155,150,+11,7.91,804,2160,10200,650,665,685,-20,-2.84,5,1230,166,170,169,+13,8.33,735,40184,10300,570,590,590,-40,-6.35,38,266,185,192,190,+12,6.74,1251,1459,10400,403,510,500,-50,-9.09,89,459,210,220,214,+17,8.63,1459,3288,10500,426,438,430,-49,-10.23,174,536,240,248,243,+16,7.05,823,2129,10600,357,369,362,-44,-10.84,297,1189,272,281,275,+17,6.59,831,2118,10700,304,306,302,-40,-11.70,360,1053,290,319,309,+18,6.19,570,1634,10800,244,258,247,-35,-12.41,1650,2428,351,357,354,+23,6.95,421,3768,10900,192,196,195,-33,-14.47,1871,3649,383,458,405,+29,7.71,164,334,11000,148,160,151,-29,-16.11,1317,3526,430,462,460,+32,7.48,211,2112,11100,114,118,114,-24,-17.39,1163,3347,515,525,525,+45,9.38,66,82,11200,84,85,85,-19,-18.27,1368,4557,560,595,595,+45,8.18,37,1736,11300,60,61,61,-15,-19.74,1283,2827,550,770,680,+55,8.80,2,26,11400,44.5,47,44,-11,-20.00,1023,2730,745,850,710,+5,0.71,2,3797,11500,32.5,33,32.5,-7,-17.72,1044,3824,830,935,835,+50,6.37,2,23,11600,23.5,24,24,-4,-14.29,395,4820,925,1030,920,+45,5.14,1,2591,11700,17,17.5,17.5,-3,-14.63,284,2366,900,1120,-,-,-,0,0,11800,13,14.5,13,-2,-13.33,523,2334,995,1220,-,-,-,0,2704,11900,9.9,10.5,10,-1,-9.09,90,1047,1090,1320,-,-,-,0,0,12000,7.8,8,7.8,-0.7,-8.24,105,2709,1310,1420,1300,+50,4.00,2,2763,12100,5,6.5,6,-0.5,-7.69,193,2684,1290,1520,-,-,-,0,0,12200,5,5.1,5,-0.1,-1.96,28,1232,1500,1620,-,-,-,0,623,12300,-,108,4.1,,0,17,257,1490,1720,-,-,-,0,0
2020-05-19,9400,1440,1610,-,-,-,0,413,40,42,41.5,-24.5,-37.12,1610,27117,9500,1340,1470,-,-,-,0,136,42,50,43,-32,-42.67,1595,3592,9600,1190,1420,-,-,-,0,344,52,58,56,-27,-32.53,972,25278,9700,1100,1330,1190,+100,9.17,5,156,61,66,64,-28,-30.43,998,2235,9800,1010,1080,-,-,-,0,536,70,75,72,-34,-32.08,2551,23925,9900,880,990,1010,+95,10.38,2,97,79,88,83,-35,-29.66,1087,2296,10000,790,905,920,+90,10.84,41,1033,89,97,96,-36,-27.27,2283,26543,10100,745,815,820,+75,10.07,38,120,100,111,108,-42,-28.00,1155,2519,10200,660,730,735,+70,10.53,44,1221,114,127,124,-45,-26.63,1711,40228,10300,535,650,655,+65,11.02,198,280,137,154,143,-47,-24.74,1206,1842,10400,555,570,575,+65,12.75,232,345,155,166,160,-54,-25.23,1452,3656,10500,421,492,484,+46,10.50,144,566,183,190,187,-56,-23.05,1801,2560,10600,410,418,415,+46,12.47,280,1249,211,215,212,-63,-22.91,1165,2199,10700,345,349,350,+46,15.13,456,1198,243,250,244,-65,-21.04,1708,2072,10800,283,295,285,+38,15.38,779,2506,274,288,277,-77,-21.75,1368,4073,10900,225,233,226,+31,15.90,1216,3885,320,331,310,-89,-22.31,572,577,11000,177,187,177,+26,17.22,1651,3692,371,379,375,-85,-18.48,361,2207,11100,131,136,133,+19,16.67,1721,3538,390,525,430,-95,-18.10,213,179,11200,98,99,99,+14,16.47,2693,5388,435,585,478,-117,-19.66,105,1752,11300,70,72,70,+9,14.75,3310,4114,530,650,550,-115,-17.29,39,34,11400,47,51,50,+5.5,12.36,1823,3020,640,725,640,-110,-14.67,113,3868,11500,33.5,37,34,+1.5,4.62,2481,4553,580,805,710,-125,-14.97,45,23,11600,23.5,24.5,24,,0,1319,5158,815,890,805,-125,-13.44,12,2593,11700,16.5,17.5,17,-0.5,-2.86,1212,2756,755,980,-,-,-,0,0,11800,11.5,12.5,12.5,-0.5,-3.85,401,2388,965,1070,1000,-120,-10.71,2,2706,11900,8.9,9.6,9,-1,-10.00,190,1104,945,1170,-,-,-,0,0,12000,6.6,9.5,6.9,-0.9,-11.54,953,2802,1200,1270,1160,-150,-11.45,2,2763,12100,0.3,9,5.4,-0.6,-10.00,165,2714,1140,1370,-,-,-,0,0,12200,4,33.5,4.4,-0.6,-12.00,137,1353,1390,1470,-,-,-,0,623,12300,0.1,24.5,3.3,-0.8,-19.51,27,260,1340,1570,-,-,-,0,0,12400,1.6,5,2.8,-0.6,-17.65,3,1578,1440,1670,-,-,-,0,40
2020-05-20,9400,1400,1630,-,-,-,0,295,-,0.2,-,-,-,40,2449,9500,1300,1530,-,-,-,0,585,-,0.2,0.2,+0.1,-,35,3867,9600,1200,1430,1320,+50,3.94,2,424,-,0.2,0.2,+0.1,-,56,3931,9700,1100,1330,-,-,-,0,801,-,0.3,0.2,,0,140,4400,9800,1000,1230,1100,+30,2.80,4,439,-,0.3,0.2,,0,446,6225,9900,900,1130,975,+5,0.52,4,597,-,0.2,0.2,,0,152,5382,10000,800,1020,895,+25,2.87,9,1829,-,0.3,0.2,,0,490,15356,10100,700,850,795,+25,3.25,6,1101,-,0.3,0.3,+0.1,50.00,224,6744,10200,680,795,690,+20,2.99,61,2481,0.1,0.2,0.2,-0.1,-33.33,481,10584,10300,585,725,580,+10,1.75,46,4628,-,0.2,0.1,-0.3,-75.00,986,15192,10400,484,487,484,+14,2.98,171,3634,0.1,0.3,0.2,-0.2,-50.00,1233,14205,10450,354,575,-,-,-,0,0,-,0.3,0.3,-0.4,-57.14,159,654,10500,386,388,385,+15,4.05,107,2564,0.1,0.3,0.3,-0.6,-66.67,1580,15451,10550,243,462,332,+12,3.75,16,137,-,0.3,0.1,-1.1,-91.67,801,5891,10600,286,288,288,+14,5.11,659,5981,0.1,0.2,0.2,-1.8,-90.00,4667,12131,10650,235,260,236,+12,5.36,672,493,-,0.1,0.1,-3.4,-97.14,6316,6921,10700,186,187,187,+13,7.47,3703,4440,-,0.2,0.1,-6.7,-98.53,12643,14127,10750,136,137,136,+2,1.49,6407,1500,-,0.2,0.1,-11.9,-99.17,22856,8928,10800,86,87,86,-6,-6.52,26382,11736,0.1,0.2,0.2,-22.3,-99.11,55982,18539,10850,36,36.5,36.5,-21.5,-37.07,68470,7807,0.1,0.2,0.2,-39.3,-99.49,86729,14841,10900,-,0.1,0.1,-34.9,-99.71,144593,29165,13,13.5,13,-53,-80.30,138282,19669,10950,-,0.1,0.1,-17.4,-99.43,101058,19914,63,64,64,-32,-33.33,68338,4065,11000,-,0.2,0.1,-8.7,-98.86,70176,27850,113,114,113,-26,-18.71,20674,2694,11050,0.1,0.2,0.2,-4,-95.24,24240,15641,163,164,163,-25,-13.30,3159,495,11100,0.1,0.4,0.1,-1.7,-94.44,9953,20945,205,213,212,-21,-9.01,1215,534,11150,0.1,0.3,0.1,-0.8,-88.89,3515,7006,183,265,262,-21,-7.42,115,63,11200,-,0.2,0.2,-0.5,-71.43,1926,14866,188,315,320,-12,-3.61,94,254,11250,-,0.2,0.1,-0.3,-75.00,865,3926,238,457,-,-,-,0,68,11300,-,0.2,0.1,-0.3,-75.00,1295,12227,371,510,423,-9,-2.08,477,314,11400,-,0.3,0.1,-0.1,-50.00,156,5972,389,550,476,-54,-10.19,1,143,11500,-,0.1,0.1,-0.1,-50.00,666,5126,488,710,-,-,-,0,59,11600,-,0.2,0.2,,0,23,2734,640,800,-,-,-,0,32,11700,-,0.1,0.1,,-,2,5387,675,900,-,-,-,0,46,11800,-,0.3,0.3,+0.2,-,1,2525,775,1000,-,-,-,0,104,11900,-,0.3,-,-,-,3,543,875,1100,-,-,-,0,115,12000,-,0.3,-,-,-,0,1404,975,1200,1090,-40,-3.54,4,229,12100,-,0.3,-,-,-,0,295,1070,1300,-,-,-,0,18,12200,-,0.3,-,-,-,2,355,1170,1400,-,-,-,0,0,12300,-,0.3,-,-,-,5,229,1270,1500,-,-,-,0,10,12400,-,0.5,-,-,-,1,151,1370,1600,-,-,-,0,10
2020-05-21,9500,1380,1490,1480,+90,6.47,28,139,21.5,22,22,-13.5,-38.03,1849,4354,9600,1270,1500,-,-,-,0,344,24.5,25.5,24,-16.5,-40.74,1463,25591,9700,1170,1400,1280,+80,6.67,1,155,27.5,29,28.5,-18,-38.71,1059,2481,9800,1090,1320,1180,+70,6.31,26,555,33.5,36.5,33.5,-21.5,-39.09,2719,24819,9900,995,1220,1060,+50,4.95,11,99,38.5,39,38.5,-24.5,-38.89,2315,3492,10000,895,1030,1000,+80,8.70,32,1031,46.5,47,46.5,-27.5,-37.16,5075,28234,10100,800,1030,910,+80,9.64,2,124,53,54,54,-30,-35.71,2096,3650,10200,720,945,795,+50,6.71,7,1221,62,65,62,-34,-35.42,3551,41848,10300,640,855,735,+75,11.36,62,291,74,75,74,-38,-33.93,1986,2964,10400,545,660,655,+75,12.93,90,408,86,90,86,-44,-33.85,2741,4892,10500,550,565,555,+60,12.12,221,650,101,103,102,-48,-32.00,4797,5432,10600,470,480,472,+49,11.58,139,1176,118,122,121,-52,-30.06,4148,3662,10700,392,402,401,+50,14.25,621,1425,142,147,143,-59,-29.21,3540,3506,10800,319,328,324,+37,12.89,1662,2688,169,175,170,-68,-28.57,4679,5644,10900,255,260,256,+30,13.27,3681,4919,202,207,205,-74,-26.52,3570,2851,11000,194,199,198,+24,13.79,6973,5117,242,250,245,-79,-24.38,3731,3445,11100,146,147,147,+16,12.21,4856,6177,291,297,296,-84,-22.11,772,861,11200,105,107,104,+10,10.64,5202,6539,348,358,351,-92,-20.77,648,2114,11300,72,73,73,+10,15.87,5064,5239,414,421,409,-101,-19.80,176,139,11400,49,49.5,48.5,+5.5,12.79,8117,7737,466,600,488,-107,-17.98,779,4235,11500,30.5,32,31,+2,6.90,5310,7109,500,685,570,-110,-16.18,177,159,11600,20,20.5,20.5,+1.5,7.89,7686,10012,545,770,645,-120,-15.69,17,2597,11700,13,13.5,13.5,+1,8.00,1764,3170,635,860,745,-115,-13.37,1,2,11800,6,9.8,9.4,+1,11.90,745,2546,745,970,-,-,-,0,2706,11900,6.1,9,6.6,-0.5,-7.04,346,1230,830,1060,-,-,-,1,1,12000,4.5,7,4.6,-0.2,-4.17,554,3049,930,1160,-,-,-,0,2763,12100,0.2,4,3.4,-0.1,-2.86,1641,2725,1030,1260,-,-,-,0,0,12200,1,3,2.6,+0.5,23.81,55,1344,1130,1360,-,-,-,0,623,12300,-,3,2,+0.3,17.65,127,244,1230,1460,-,-,-,0,0,12400,-,3.6,1.5,,0,47,1593,1330,1560,-,-,-,0,40,12500,-,53,1.3,,0,16,198,1430,1660,-,-,-,0,0
2020-05-22,9200,1490,1720,-,-,-,0,2169,31,32,31,+16.5,113.79,261,2762,9300,1360,1580,1540,-130,-7.78,1,130,26.5,36,36,+19.5,118.18,663,1795,9400,1270,1500,-,-,-,1,412,40,42,41,+22,115.79,1013,27551,9500,1200,1430,1280,-200,-13.51,11,139,46.5,47,46.5,+24.5,111.36,903,4271,9600,1080,1300,-,-,-,0,344,52,54,53,+29,120.83,1370,25370,9700,980,1200,-,-,-,0,155,51,63,60,+31.5,110.53,912,2466,9800,900,1110,1050,-130,-11.02,24,539,69,71,69,+35.5,105.97,2494,25352,9900,795,1020,-,-,-,0,99,75,79,78,+39.5,102.60,2538,4707,10000,810,965,835,-165,-16.50,80,1026,90,91,91,+44.5,95.70,4971,27603,10100,665,885,750,-160,-17.58,6,128,104,108,104,+50,92.59,2779,3991,10200,600,785,650,-165,-20.25,41,1233,120,122,121,+59,95.16,4642,42729,10300,575,590,600,-135,-18.37,63,280,137,138,138,+64,86.49,4518,4288,10400,498,505,488,-152,-23.75,109,445,158,159,159,+73,84.88,4282,6371,10500,423,431,423,-132,-23.78,969,827,181,185,182,+80,78.43,10696,7321,10600,350,358,350,-122,-25.85,847,1278,208,213,212,+91,75.21,4125,3549,10700,282,292,284,-117,-29.18,872,1557,241,242,242,+99,69.23,5215,3222,10800,222,226,223,-101,-31.17,2363,3275,279,285,282,+112,65.88,5007,5151,10900,170,172,172,-84,-32.81,3304,4962,325,327,325,+120,58.54,3018,2671,11000,121,125,124,-74,-37.37,5654,6278,377,381,377,+132,53.88,1884,2857,11100,84,88,87,-60,-40.82,4942,6781,437,446,442,+146,49.32,519,856,11200,56,57,57,-47,-45.19,9522,8468,505,520,520,+169,48.15,336,2065,11300,34,35,34.5,-38.5,-52.74,6441,5901,585,600,600,+180,42.86,141,179,11400,22,23,22,-27,-55.10,9459,8576,670,685,680,+192,39.34,468,3970,11500,13.5,14,14,-17,-54.84,5276,7602,655,875,775,+195,33.62,119,136,11600,8.5,11,8.5,-12,-58.54,2469,10185,750,970,855,+190,28.57,41,2596,11700,5.8,9.5,5.9,-7.6,-56.30,1534,3063,850,1070,-,-,-,1,2,11800,4,4.6,4.2,-5.2,-55.32,370,2664,935,1160,1050,+190,22.09,5,2707,11900,1.3,9.9,2.9,-3.7,-56.06,151,1212,1040,1270,1110,+155,16.23,1,1,12000,2,2.5,2.3,-2.3,-50.00,771,3136,1140,1370,-,-,-,0,2763,12100,1,2.1,2,-1.4,-41.18,89,2729,1240,1470,-,-,-,0,0,12200,1,1.8,1.7,-0.9,-34.62,72,1404,1340,1570,-,-,-,0,623
